state,rptdate,total,measure_type,measure,measure_n,measure_ina,measure_pct,measure_pct_ina,state_name,claim_type,year,year_month,month,month_labs,date_school_closures,date_restaurant_closures,date_stay_in_place,notes_closures,date_min_covid,covid_color,monthly_weekly_ind,count_weeks,state_filter
ID,2020-03-07,947,sex,male,684,0,0.7222808870116156,0,Idaho,Initial,2020,Mar 2020,3,Mar,2020-03-23,2020-03-25,2020-03-19,"March 19, 2020: The Governor issued a mandatory isolation order for Blaine County. March 23, 2020: The Idaho State Board of Education directed all public school districts and charter schools to immediately start a “soft closure” of all classroom facilities through April 20. March 25, 2020 –The Governor issued a statewide stay-home order for the state of Idaho.",2020-03-19,Before shutdowns,weekly,2,keep
ID,2020-03-14,946,sex,male,636,0,0.6723044397463002,0,Idaho,Initial,2020,Mar 2020,3,Mar,2020-03-23,2020-03-25,2020-03-19,"March 19, 2020: The Governor issued a mandatory isolation order for Blaine County. March 23, 2020: The Idaho State Board of Education directed all public school districts and charter schools to immediately start a “soft closure” of all classroom facilities through April 20. March 25, 2020 –The Governor issued a statewide stay-home order for the state of Idaho.",2020-03-19,Before shutdowns,weekly,2,keep
ID,2020-03-21,12285,sex,male,4801,0,0.3908017908017908,0,Idaho,Initial,2020,Mar 2020,3,Mar,2020-03-23,2020-03-25,2020-03-19,"March 19, 2020: The Governor issued a mandatory isolation order for Blaine County. March 23, 2020: The Idaho State Board of Education directed all public school districts and charter schools to immediately start a “soft closure” of all classroom facilities through April 20. March 25, 2020 –The Governor issued a statewide stay-home order for the state of Idaho.",2020-03-19,After shutdowns,weekly,4,keep
ID,2020-03-28,27180,sex,male,11225,0,0.4129874908020603,0,Idaho,Initial,2020,Mar 2020,3,Mar,2020-03-23,2020-03-25,2020-03-19,"March 19, 2020: The Governor issued a mandatory isolation order for Blaine County. March 23, 2020: The Idaho State Board of Education directed all public school districts and charter schools to immediately start a “soft closure” of all classroom facilities through April 20. March 25, 2020 –The Governor issued a statewide stay-home order for the state of Idaho.",2020-03-19,After shutdowns,weekly,4,keep
ID,2020-04-04,22116,sex,male,10350,0,0.4679869777536625,0,Idaho,Initial,2020,Apr 2020,4,Apr,2020-03-23,2020-03-25,2020-03-19,"March 19, 2020: The Governor issued a mandatory isolation order for Blaine County. March 23, 2020: The Idaho State Board of Education directed all public school districts and charter schools to immediately start a “soft closure” of all classroom facilities through April 20. March 25, 2020 –The Governor issued a statewide stay-home order for the state of Idaho.",2020-03-19,After shutdowns,weekly,4,keep
ID,2020-04-11,12693,sex,male,5947,0,0.46852595919010476,0,Idaho,Initial,2020,Apr 2020,4,Apr,2020-03-23,2020-03-25,2020-03-19,"March 19, 2020: The Governor issued a mandatory isolation order for Blaine County. March 23, 2020: The Idaho State Board of Education directed all public school districts and charter schools to immediately start a “soft closure” of all classroom facilities through April 20. March 25, 2020 –The Governor issued a statewide stay-home order for the state of Idaho.",2020-03-19,After shutdowns,weekly,4,keep
MN,2020-03-21,116959,sex,male,43385,0,0.3709419540180747,0,Minnesota,Initial,2020,Mar 2020,3,Mar,2020-03-15,2020-03-25,2020-03-25,"March 15, 2020: The Governor signed Executive Order 20-02 authorizing the closure of all prekindergarten through grade 12 schools. This order also requires schools to provide care for elementary-age children of health care professionals, first responders, and other emergency workers during previously planned school days. March 25, 2020: The Governor signed Executive Order 20-20, directing residents to stay at home, and issued a list of activities for which it’s permissible to leave, such as for health and safety activities, necessary supplies and services, and for the care of others.",2020-03-15,After shutdowns,weekly,4,keep
MN,2020-03-28,111570,sex,male,51002,0,0.45713005288159897,0,Minnesota,Initial,2020,Mar 2020,3,Mar,2020-03-15,2020-03-25,2020-03-25,"March 15, 2020: The Governor signed Executive Order 20-02 authorizing the closure of all prekindergarten through grade 12 schools. This order also requires schools to provide care for elementary-age children of health care professionals, first responders, and other emergency workers during previously planned school days. March 25, 2020: The Governor signed Executive Order 20-20, directing residents to stay at home, and issued a list of activities for which it’s permissible to leave, such as for health and safety activities, necessary supplies and services, and for the care of others.",2020-03-15,After shutdowns,weekly,4,keep
MN,2020-04-04,113343,sex,male,56203,0,0.4958665290313473,0,Minnesota,Initial,2020,Apr 2020,4,Apr,2020-03-15,2020-03-25,2020-03-25,"March 15, 2020: The Governor signed Executive Order 20-02 authorizing the closure of all prekindergarten through grade 12 schools. This order also requires schools to provide care for elementary-age children of health care professionals, first responders, and other emergency workers during previously planned school days. March 25, 2020: The Governor signed Executive Order 20-20, directing residents to stay at home, and issued a list of activities for which it’s permissible to leave, such as for health and safety activities, necessary supplies and services, and for the care of others.",2020-03-15,After shutdowns,weekly,4,keep
MN,2020-04-11,93549,sex,male,44860,0,0.479534789254829,0,Minnesota,Initial,2020,Apr 2020,4,Apr,2020-03-15,2020-03-25,2020-03-25,"March 15, 2020: The Governor signed Executive Order 20-02 authorizing the closure of all prekindergarten through grade 12 schools. This order also requires schools to provide care for elementary-age children of health care professionals, first responders, and other emergency workers during previously planned school days. March 25, 2020: The Governor signed Executive Order 20-20, directing residents to stay at home, and issued a list of activities for which it’s permissible to leave, such as for health and safety activities, necessary supplies and services, and for the care of others.",2020-03-15,After shutdowns,weekly,4,keep
